country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,42,,,,,39,,,,,34.7,,,,,,,,18.8,,,,,,,
Mexico,,,,,,,,,,,,,,,,,30.3,40,37.8,,,47.7,,,,,52.7,,,,,63.1,,,66.5,,68.4,,,,,,74.5,,,70.9,,,72.5,,,,,72.3,66.9,,,73.1,,,,,71.8,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,,,,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,,,,,,,,59.9,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,6.7,,,,,8.1,,,,,8.2,,,,9.8,,,10.3,,15.6,,,17.2,,,,,,
Malta,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,85.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,,32.7,,,,32.5,,,,,,41,,,,,,,,,52.2,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,,,,,,39.6,,,,,,,23.2,,,,,20.7,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3,,59.9,,67.4,,,69,,66,,,55.2,,,54.9,,54.6,,,,,48.1,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,16.5,,,,,16.2,11.6,,11.6,,,,27.1,,,,,,,,26.4,
Mauritania,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,4.1,,,,,,,,,,8,,,,,,9.3,,,,11.4,,,,17.8,,,,,,14.3,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,79.5,,,,,,74.6,,,,,,,,,,,75.9,,,,,,,,,,,,63.8,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,13,,,,21.9,,,,30.6,,,,32.5,,41,,,,46.1,,,,58.6,,59.2,,,,65.6,,,,
