Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN
184,45,Charlotte Cardin - Feel Good,79,87,,1060,192,0.199,,,,,,,,,46,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,-43,Max McNown - A Lot More Free,264,11,,1059,-246,0.959,56,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,57,J Balvin - Azul,2,186,,1054,219,0.167,,,,,,,19,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,23,"W Sound, Beéle & Ovy On the Drums - La Plena",72,83,,1050,112,0.15,,,,,,,,,,15,,,,36,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,
188,-123,Alphaville - Forever Young,267,33,,1048,-1152,1.059,80,93,,,,,,122,118,,119,,,,,,,,,,,97,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,-28,Morgan Wallen - I'm The Problem,182,18,,1044,-159,0.482,34,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,-53,Oasis - Don't Look Back In Anger,55,6,,1041,-300,0.54,,63,,183,,,,,,,,,,33,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,NEW,"Bob Daisy, Evelyn Weigert & Tom Beck - Halt Dein Maul",26,78,,1041,466,0.047,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,-26,HANA - ROSE,109,87,,1041,-129,0.154,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,NEW,Bob Marley & The Wailers - Three Little Birds,38,39,,1036,927,0.507,,109,,,,,,,,,,,,,,14,,,,,,,,,,,,,,92,,,,,,,37,,,,,,,,8,,,,,,,15,,,,,,,,
194,39,KAROL G - Papasito,31,46,,1033,170,0.064,,,,,,,,,62,10,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,9,,,,,,,
195,NEW,FANTASTICS from EXILE TRIBE - Always by Your Side,1,195,,1029,1029,0.001,,,,,33,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,-86,Shaboozey & Myles Smith - Blink Twice,106,22,,1027,-523,0.223,,,,36,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,-28,"CYRIL, MOONLGHT & The La's - There She Goes",68,34,,1021,-104,0.138,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,NEW,"Okaasan to Issho, Yuichiro Hanada(Okaasan to Issho) & Maya Nagata(Okaasan to Issho) - BON",1,198,,1021,1021,0.001,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,-48,Konomi Suzuki & VISUAL ARTS / Key - Finis Teller,2,151,,1020,-221,0.002,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,
200,24,Oasis - Wonderwall,59,3,(x1),1020,136,1.178,,80,,,,,,139,,,,,,44,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,
